Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Value
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2000","2000","58209.9843"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2001","2001","61521.1777"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2002","2002","26853.8009"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2003","2003","153609.7514"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2004","2004","256645.9178"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2005","2005","147470.5132"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2006","2006","205235.1639"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2007","2007","169494.4937"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2008","2008","157495.0735"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2009","2009","375459.4972"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2010","2010","451835.0555"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2011","2011","157237.4831"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2012","2012","234664.869"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2013","2013","221763.8823"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2014","2014","271500.2985"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2015","2015","160242.7046"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2016","2016","225563.3409"
"GI","Burning - Biomass","100","India","7246","Burned Area","6796","Humid tropical forest","2017","2017","225563.3409"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2000","2000","3149160.051"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2001","2001","3311897.84"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2002","2002","1442755.293"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2003","2003","8290304.737"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2004","2004","13858428.37"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2005","2005","7946202.585"
"GI","Burning - Biomass","100","India","7245","Biomass burned (dry matter)","6796","Humid tropical forest","2006","2006","11065382.02"
