Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2000","2000","%","29.2306","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2001","2001","%","29.3184","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2002","2002","%","28.4757","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2003","2003","%","28.0862","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2004","2004","%","27.3672","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2005","2005","%","27.1328","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2006","2006","%","26.4606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2007","2007","%","25.8374","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2008","2008","%","24.2641","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2009","2009","%","22.4371","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2010","2010","%","22.8546","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2011","2011","%","22.1643","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2012","2012","%","20.6844","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2013","2013","%","20.586","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2014","2014","%","19.2711","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2015","2015","%","18.8166","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2016","2016","%","18.3509","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726312","Share of total emissions (SAR)","1711","Agriculture total","2017","2017","%","18.0179","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EM","Emissions shares","100","India","726313","Share of total emissions (AR5)","1711","Agriculture total","2000","2000","%","31.9364","A","Aggregate, may include official, semi-official, estimated or calculated data"
