Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Note
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 persons","1019483.581",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","1998","1998","1000 persons","529954.039",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","1998","1998","1000 persons","489529.547",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 persons","739222.779",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 persons","276751.263","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 persons","1038058.156",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","1999","1999","1000 persons","539685.38",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","1999","1999","1000 persons","498372.774",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","1999","1999","1000 persons","750527.571",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","1999","1999","1000 persons","284011.643","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","1056575.549",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2000","2000","1000 persons","549387.864",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2000","2000","1000 persons","507187.684",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","761700.63",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","291350.282","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","1075000.085",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2001","2001","1000 persons","559042.845",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2001","2001","1000 persons","515957.249",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","772339.048",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","299138.807","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","1093317.189",""
"OA","Annual population","100","India","512","Total Population - Male","3010","Population - Est. & Proj.","2002","2002","1000 persons","568640.65",""
"OA","Annual population","100","India","513","Total Population - Female","3010","Population - Est. & Proj.","2002","2002","1000 persons","524676.537",""
"OA","Annual population","100","India","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","782001.968",""
"OA","Annual population","100","India","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","307805.144","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","100","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","1111523.144",""
