Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2000","2000","millions","476148.034907","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2000","2000","%","3.108956","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2001","2001","millions","490658.804656","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2001","2001","%","3.047533","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2002","2002","millions","512774.618109","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2002","2002","%","4.507371","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2003","2003","millions","599470.430509","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2003","2003","%","16.907197","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2004","2004","millions","703128.958274","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2004","2004","%","17.291683","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2005","2005","millions","823611.578011","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2005","2005","%","17.135209","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2006","2006","millions","939066.417429","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2006","2006","%","14.018118","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2007","2007","millions","1184724.488414","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2007","2007","%","26.159819","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2008","2008","millions","1267470.121376","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2008","2008","%","6.984378","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2009","2009","millions","1315230.229768","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2009","2009","%","3.768145","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2010","2010","millions","1669619.771818","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2010","2010","%","26.945058","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2011","2011","millions","1871918.010542","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2011","2011","%","12.116426","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2012","2012","millions","1860877.235564","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2012","2012","%","-0.589811","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2013","2013","millions","1917053.695705","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2013","2013","%","3.018816","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2014","2014","millions","2042939.289738","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2014","2014","%","6.566618","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2015","2015","millions","2146758.608055","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2015","2015","%","5.08186","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2016","2016","millions","2286233.127074","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2016","2016","%","6.496982","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2017","2017","millions","2625091.06517","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2017","2017","%","14.82167","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6110","Value US$","22008","Gross Domestic Product","2018","2018","millions","2779351.53256","X","International reliable sources","Data from UNSD AMA"
"MK","Macro Indicators","100","India","6129","Annual growth US$","22008","Gross Domestic Product","2018","2018","%","5.876385","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2000","2000","","452.160508","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2001","2001","","457.927154","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2002","2002","","470.518693","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2003","2003","","541.024697","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2004","2004","","624.373164","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2005","2005","","719.865515","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2006","2006","","808.162155","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2007","2007","","1004.275095","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2008","2008","","1058.742344","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2009","2009","","1083.144677","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2010","2010","","1356.333031","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2011","2011","","1500.85306","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2012","2012","","1473.301833","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2013","2013","","1499.38242","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2014","2014","","1578.950122","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2015","2015","","1639.93131","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2016","2016","","1726.538729","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2017","2017","","1960.222536","Fc","Calculated data",""
"MK","Macro Indicators","100","India","6119","Value US$","22014","Gross Domestic Product per capita","2018","2018","","2052.618239","Fc","Calculated data",""
